ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
03-06,03. Scaffold 3 - Diet & Caloric Intake,Final,,Nutrient Intake / Dietary Patterns / Anthropometrics,"Salvat, H.; Nader Mohammadi, M.; Molavi, P.; Mostafavi, S. A.; Rostami, R.; Salehinejad, M. A.",2022,"Nutrient intake, dietary patterns, and anthropometric variables of children with ADHD in comparison to healthy controls: a case-control study",BMC Pediatrics,"22(1), 70",Case-control study,100 children with ADHD and 100 sex-matched controls,10.1186/s12887-022-03123-6,https://doi.org/10.1186/s12887-022-03123-6,https://pmc.ncbi.nlm.nih.gov/articles/PMC8800296/,Yes - open access,Rehosting permitted under CC BY 4.0 with attribution and license terms,ADHD; Nutrient Intake; Protein; Sugar; Diet Quality; Anthropometrics; Children; Case-Control; Open Access,03_2022_Salvat_Nutrient-Intake-Dietary-Patterns.pdf
03-07,03. Scaffold 3 - Diet & Caloric Intake,Final,,Dietary and Nutrient Patterns / Protein / Minerals,"Zhou, F.; Wu, F.; Zou, S.; Chen, Y.; Feng, C.; Fan, G.",2016,"Dietary, Nutrient Patterns and Blood Essential Elements in Chinese Children with ADHD",Nutrients,"8(6), 352",Case-control study,592 children ages 6-14; 296 ADHD and 296 matched controls,10.3390/nu8060352,https://doi.org/10.3390/nu8060352,https://pmc.ncbi.nlm.nih.gov/articles/PMC4924193/,Yes - open access,Rehosting permitted under CC BY 4.0 with attribution and license terms,ADHD; Dietary Pattern; Nutrient Pattern; Protein; Minerals; Zinc; Children; Case-Control; Open Access,03_2016_Zhou_Dietary-Nutrient-Patterns-ADHD.pdf
03-08,03. Scaffold 3 - Diet & Caloric Intake,Final,,Medication / Dietary Patterns / BMI,"Bowling, A.; Davison, K.; Haneuse, S.; Beardslee, W.; Miller, D. P.",2017,"ADHD Medication, Dietary Patterns, Physical Activity, and BMI in Children: A Longitudinal Analysis of the ECLS-K Study",Obesity,"25(10), 1802-1808",Longitudinal cohort analysis,"Nationally representative U.S. childhood cohort; N=8,250",10.1002/oby.21949,https://doi.org/10.1002/oby.21949,https://onlinelibrary.wiley.com/doi/full/10.1002/oby.21949,Free full text on publisher site,Link only - reuse license not independently verified,ADHD; Medication; Diet; Physical Activity; BMI; Children; Longitudinal; Nutrition,03_2017_Bowling_ADHD-Medication-Diet-BMI.pdf
03-09,03. Scaffold 3 - Diet & Caloric Intake,Final,,Stimulant Appetite Suppression / Caloric Supplementation,"Waxmonsky, J. G.; Pelham, W. E. III; Campa, A.; Waschbusch, D. A.; Li, T.; Marshall, R.; Babocsai, L.; Humphery, H.; Gnagy, E.; Swanson, J.; Hanć, T.; Fallahazad, N.; Pelham, W. E. Jr.",2020,A Randomized Controlled Trial of Interventions for Growth Suppression in Children With Attention-Deficit/Hyperactivity Disorder Treated With Central Nervous System Stimulants,Journal of the American Academy of Child & Adolescent Psychiatry,"59(12), 1330-1341",Randomized controlled trial,230 children ages 5-12 with ADHD; weight-recovery interventions included daily caloric supplementation,10.1016/j.jaac.2019.08.472,https://doi.org/10.1016/j.jaac.2019.08.472,https://pmc.ncbi.nlm.nih.gov/articles/PMC7048642/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Stimulants; Appetite Suppression; Caloric Intake; Caloric Supplementation; Growth; Children; RCT,03_2020_Waxmonsky_Caloric-Supplementation-Stimulant-Growth.pdf
03-10,03. Scaffold 3 - Diet & Caloric Intake,Final,,Stimulants / Appetite / Growth,"Baweja, R.; Hale, D. E.; Waxmonsky, J. G.",2021,Impact of CNS Stimulants for Attention-Deficit/Hyperactivity Disorder on Growth: Epidemiology and Approaches to Management in Children and Adolescents,CNS Drugs,"35(8), 839-859",Peer-reviewed clinical review,Children and adolescents with ADHD treated with central nervous system stimulants,10.1007/s40263-021-00841-w,https://doi.org/10.1007/s40263-021-00841-w,https://pubmed.ncbi.nlm.nih.gov/34297331/,Publisher access,Link only - publisher copyright,ADHD; Stimulants; Appetite; Weight; Growth; Caloric Intake; Children; Adolescents; Review,03_2021_Baweja_Stimulants-Appetite-Growth-Review.pdf
03-11,03. Scaffold 3 - Diet & Caloric Intake,Final,,Disordered Eating / Eating Regulation,"Kaisari, P.; Dourish, C. T.; Higgs, S.",2017,Attention Deficit Hyperactivity Disorder (ADHD) and disordered eating behaviour: A systematic review and a framework for future research,Clinical Psychology Review,"53, 109-121",Systematic review,75 studies examining ADHD symptomatology and disordered eating behavior,10.1016/j.cpr.2017.03.002,https://doi.org/10.1016/j.cpr.2017.03.002,https://pubmed.ncbi.nlm.nih.gov/28334570/,Free article / publisher access varies,Link only - Elsevier copyright,ADHD; Eating Behavior; Disordered Eating; Overeating; Restrictive Eating; Impulsivity; Systematic Review,03_2017_Kaisari_ADHD-Disordered-Eating-Systematic-Review.pdf
04-01,04. Scaffold 4 - Sleep Hygiene,Final,,Sleep Interventions / Meta-analysis of RCTs,"Fang, Y.; Wang, Z.; Zhang, M.; Sun, F.",2026,The influence of existing interventions on sleep of youth with attention-deficit/hyperactivity disorder: A meta-analysis of randomized controlled trials,Sleep Medicine Reviews,"88, 102303",Systematic review and meta-analysis of randomized controlled trials,"40 randomized controlled trials; 4,361 children and adolescents with ADHD",10.1016/j.smrv.2026.102303,https://doi.org/10.1016/j.smrv.2026.102303,https://pubmed.ncbi.nlm.nih.gov/42096966/,Free/open-access article,Open access under a Creative Commons license - verify exact license before local rehosting,ADHD; Sleep; Sleep Intervention; Sleep Hygiene; Children; Adolescents; Meta-analysis; RCT,04_2026_Fang_Sleep-Interventions-RCT-Meta-Analysis.pdf
04-02,04. Scaffold 4 - Sleep Hygiene,Final,,Sleep Interventions / Systematic Review,"Larsson, I.; Aili, K.; Lönn, M.; Svedberg, P.; Nygren, J. M.; Ivarsson, A.; Johansson, P.",2023,Sleep interventions for children with attention deficit hyperactivity disorder (ADHD): A systematic literature review,Sleep Medicine,"102, 64-75",Systematic review with selected meta-analyses,Eight papers from five controlled studies in children with ADHD,10.1016/j.sleep.2022.12.021,https://doi.org/10.1016/j.sleep.2022.12.021,https://www.sciencedirect.com/science/article/pii/S1389945722012709,Yes - open access,Open access under a Creative Commons license - verify exact license before local rehosting,ADHD; Sleep; Sleep Intervention; Behavioral Intervention; Melatonin; Children; Systematic Review,04_2023_Larsson_Sleep-Interventions-Systematic-Review.pdf
04-03,04. Scaffold 4 - Sleep Hygiene,Final,,Behavioral Sleep Interventions / Meta-analysis,"Malkani, M. K.; Pestell, C. F.; Sheridan, A. M. C.; Crichton, A. J.; Horsburgh, G. C.; Bucks, R. S.",2022,Behavioral Sleep Interventions for Children With ADHD: A Systematic Review and Meta-Analysis,Journal of Attention Disorders,"26(14), 1805-1821",Systematic review and meta-analysis,School-aged children with ADHD receiving behavioral sleep interventions,10.1177/10870547221106239,https://doi.org/10.1177/10870547221106239,https://pubmed.ncbi.nlm.nih.gov/35758199/,Publisher access,Link only - SAGE copyright,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Children; Meta-analysis; Insomnia,04_2022_Malkani_Behavioral-Sleep-Interventions-Meta-Analysis.pdf
04-04,04. Scaffold 4 - Sleep Hygiene,Final,,Behavioral Sleep Intervention / RCT,"Hiscock, H.; Sciberras, E.; Mensah, F.; Gerner, B.; Efron, D.; Khano, S.; Oberklaid, F.",2015,"Impact of a behavioural sleep intervention on symptoms and sleep in children with attention deficit hyperactivity disorder, and parental mental health: randomised controlled trial",BMJ,"350, h68",Randomized controlled trial,244 children ages 5-12 with ADHD,10.1136/bmj.h68,https://doi.org/10.1136/bmj.h68,https://www.bmj.com/content/350/bmj.h68,Yes - open access,Link only until exact reuse license is verified,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Children; RCT; Daily Functioning,04_2015_Hiscock_Behavioral-Sleep-Intervention-RCT.pdf
04-05,04. Scaffold 4 - Sleep Hygiene,Final,,Behavioral Sleep Intervention / Long-Term Follow-up,"Sciberras, E.; Mulraney, M.; Mensah, F.; Oberklaid, F.; Efron, D.; Hiscock, H.",2020,Sustained impact of a sleep intervention and moderators of treatment outcome for children with ADHD: a randomised controlled trial,Psychological Medicine,"50(2), 210-219",Randomized controlled trial - 12-month follow-up,244 children ages 5-13 with ADHD and moderate/severe sleep problems,10.1017/S0033291718004063,https://doi.org/10.1017/S0033291718004063,https://pubmed.ncbi.nlm.nih.gov/30654852/,Publisher access,Link only - Cambridge University Press copyright,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Children; Long-Term Follow-up; RCT,04_2020_Sciberras_Sleep-Intervention-12-Month-Followup.pdf
04-06,04. Scaffold 4 - Sleep Hygiene,Final,,Sleep Hygiene / Relaxation / RCT,"Türkmen Noyan, G.; Direk, G. B.; Örengül, A. C.",2024,A randomized controlled trial of effects of sleep hygiene training and progressive muscle relaxation training in children with ADHD,Sleep Medicine,"117, 169-176",Randomized controlled trial,57 children ages 6-12 with ADHD,10.1016/j.sleep.2024.03.001,https://doi.org/10.1016/j.sleep.2024.03.001,https://pubmed.ncbi.nlm.nih.gov/38554532/,Publisher access,Link only - Elsevier copyright,ADHD; Sleep Hygiene; Progressive Muscle Relaxation; Children; RCT; Sleep Quality,04_2024_Turkmen-Noyan_Sleep-Hygiene-PMR-RCT.pdf
04-07,04. Scaffold 4 - Sleep Hygiene,Final,,Adolescent CBT Sleep Hygiene / RCT,"Keuppens, L.; Marten, F.; Baeyens, D.; Boyer, B.; Roose, A.; Becker, S.; Danckaerts, M.; Van der Oord, S.",2025,Effectiveness of a cognitive-behavioral sleep hygiene intervention for adolescents with ADHD: a randomized controlled trial,European Child & Adolescent Psychiatry,"34(11), 3415-3426",Randomized controlled trial,92 adolescents with ADHD and sleep problems,10.1007/s00787-025-02755-0,https://doi.org/10.1007/s00787-025-02755-0,https://pubmed.ncbi.nlm.nih.gov/40423708/,Publisher access,Link only unless article license permits reuse,ADHD; Adolescents; CBT; Sleep Hygiene; Chronic Sleep Reduction; RCT,04_2025_Keuppens_SIESTA-CBT-Sleep-Hygiene-RCT.pdf
04-08,04. Scaffold 4 - Sleep Hygiene,Final,,Adult Sleep Treatment / RCT,"van der Ham, M.; Bijlenga, D.; Molenaar, N.; Starreveld, D. E. J.; Böhmer, M. N.; Wettstein, R.; Dumont, G.; Beekman, A. T. F.; Kooij, S.",2026,"The Effects of Sleep Treatment on Symptoms of ADHD, Sleep Quality, Fatigue, and Depressive Symptoms in Adults",Journal of Attention Disorders,"30(3), 354-369",Randomized controlled trial,70 adults with ADHD and at least one positive sleep-disorder screen,10.1177/10870547251379103,https://doi.org/10.1177/10870547251379103,https://pubmed.ncbi.nlm.nih.gov/41140200/,Publisher access,Link only - SAGE copyright,ADHD; Adults; Sleep Treatment; Sleep Quality; Fatigue; RCT,04_2026_van-der-Ham_Adult-Sleep-Treatment-RCT.pdf
04-09,04. Scaffold 4 - Sleep Hygiene,Final,,Sleep Characteristics / Child Meta-analysis,"Cortese, S.; Faraone, S. V.; Konofal, E.; Lecendreux, M.",2009,Sleep in children with attention-deficit/hyperactivity disorder: meta-analysis of subjective and objective studies,Journal of the American Academy of Child & Adolescent Psychiatry,"48(9), 894-908",Meta-analysis,16 studies; pooled sample of 722 children with ADHD and 638 controls,10.1097/CHI.0b013e3181ac09c9,https://doi.org/10.1097/CHI.0b013e3181ac09c9,https://pubmed.ncbi.nlm.nih.gov/19625983/,Publisher/repository access,Link only - publisher copyright,ADHD; Sleep; Children; Actigraphy; Polysomnography; Sleep Problems; Meta-analysis,04_2009_Cortese_Child-Sleep-Meta-Analysis.pdf
04-10,04. Scaffold 4 - Sleep Hygiene,Final,,Sleep Characteristics / Adult Meta-analysis,"Díaz-Román, A.; Mitchell, R.; Cortese, S.",2018,Sleep in adults with ADHD: Systematic review and meta-analysis of subjective and objective studies,Neuroscience & Biobehavioral Reviews,"89, 61-71",Systematic review and meta-analysis,13 studies of adults with ADHD,10.1016/j.neubiorev.2018.02.014,https://doi.org/10.1016/j.neubiorev.2018.02.014,https://eprints.soton.ac.uk/418332/,Yes - accepted manuscript,Link only - repository manuscript is not licensed for unrestricted redistribution,ADHD; Adults; Sleep; Actigraphy; Polysomnography; Meta-analysis; Sleep Problems,04_2018_Diaz-Roman_Adult-Sleep-Meta-Analysis.pdf
04-11,04. Scaffold 4 - Sleep Hygiene,Final,,Sleep Restriction / Extension / Adolescents,"Becker, S. P.; Epstein, J. N.; Tamm, L.; Tilford, A. A.; Tischner, C. M.; Isaacson, P. A.; Beebe, D. W.",2019,"Shortened Sleep Duration Causes Sleepiness, Inattention, and Oppositionality in Adolescents With Attention-Deficit/Hyperactivity Disorder: Findings From a Crossover Sleep Restriction/Extension Study",Journal of the American Academy of Child & Adolescent Psychiatry,"58(4), 433-442",Randomized crossover sleep restriction/extension study,72 adolescents ages 14-17 entered the protocol; 48 adherent participants analyzed,10.1016/j.jaac.2018.09.439,https://doi.org/10.1016/j.jaac.2018.09.439,https://pmc.ncbi.nlm.nih.gov/articles/PMC6441371/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Adolescents; Sleep Duration; Sleep Restriction; Sleep Extension; Inattention; Crossover Study,04_2019_Becker_Sleep-Restriction-Extension-Adolescents.pdf
04-P1-01,04. Scaffold 4 - Sleep Hygiene,Candidate,Pass 1,Behavioral Sleep Interventions / Meta-analysis,"Malkani, M. K.; Pestell, C. F.; Sheridan, A. M. C.; Crichton, A. J.; Horsburgh, G. C.; Bucks, R. S.",2022,Behavioral Sleep Interventions for Children With ADHD: A Systematic Review and Meta-Analysis,Journal of Attention Disorders,"26(14), 1805-1821",Systematic review and meta-analysis,11 articles; 562 children ages 5-14 across study groups,10.1177/10870547221106239,https://doi.org/10.1177/10870547221106239,https://pubmed.ncbi.nlm.nih.gov/35758199/,Publisher access,Link only - SAGE copyright,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Children; Meta-analysis; Insomnia,04_2022_Malkani_Behavioral-Sleep-Interventions-Meta-Analysis.pdf
04-P1-02,04. Scaffold 4 - Sleep Hygiene,Candidate,Pass 1,Sleep Interventions / Systematic Review,"Larsson, I.; Aili, K.; Lönn, M.; Svedberg, P.; Nygren, J. M.; Ivarsson, A.; Johansson, P.",2023,Sleep interventions for children with attention deficit hyperactivity disorder (ADHD): A systematic literature review,Sleep Medicine,"102, 64-75",Systematic literature review,Eight papers from five controlled intervention studies in children with ADHD,10.1016/j.sleep.2022.12.021,https://doi.org/10.1016/j.sleep.2022.12.021,https://www.sciencedirect.com/science/article/pii/S1389945722012709,Yes - open access,Open access under a Creative Commons license; verify exact reuse terms before local rehosting,ADHD; Sleep; Sleep Hygiene; Behavioral Intervention; Melatonin; Children; Systematic Review,04_2023_Larsson_Sleep-Interventions-Systematic-Review.pdf
04-P1-03,04. Scaffold 4 - Sleep Hygiene,Candidate,Pass 1,Behavioral Sleep Intervention / RCT,"Hiscock, H.; Sciberras, E.; Mensah, F.; Gerner, B.; Efron, D.; Khano, S.; Oberklaid, F.",2015,"Impact of a behavioural sleep intervention on symptoms and sleep in children with attention deficit hyperactivity disorder, and parental mental health: randomised controlled trial",BMJ,"350, h68",Randomized controlled trial,244 children ages 5-12 with ADHD,10.1136/bmj.h68,https://doi.org/10.1136/bmj.h68,https://www.bmj.com/content/350/bmj.h68,Yes - open access,CC BY-NC; rehosting may be permitted for noncommercial use with attribution and license compliance,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Children; RCT; Working Memory; Quality of Life,04_2015_Hiscock_Behavioural-Sleep-Intervention-RCT.pdf
04-P1-04,04. Scaffold 4 - Sleep Hygiene,Candidate,Pass 1,Behavioral Sleep Intervention / Long-Term Follow-up,"Sciberras, E.; Mulraney, M.; Mensah, F.; Oberklaid, F.; Efron, D.; Hiscock, H.",2020,Sustained impact of a sleep intervention and moderators of treatment outcome for children with ADHD: a randomised controlled trial,Psychological Medicine,"50(2), 210-219",Randomized controlled trial follow-up,244 children ages 5-13 with ADHD and moderate/severe sleep problems; 12-month outcomes,10.1017/S0033291718004063,https://doi.org/10.1017/S0033291718004063,https://pubmed.ncbi.nlm.nih.gov/30654852/,Publisher access,Link only - Cambridge University Press copyright,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Long-Term Follow-up; Children; RCT,04_2020_Sciberras_Sustained-Sleep-Intervention.pdf
04-P1-05,04. Scaffold 4 - Sleep Hygiene,Candidate,Pass 1,Community Sleep Intervention / Cluster RCT,"Hiscock, H.; Mulraney, M.; Heussler, H.; Rinehart, N.; Schuster, T.; Grobler, A. C.; Gold, L.; Bohingamu Mudiyanselage, S.; Hayes, N.; Sciberras, E.",2019,"Impact of a behavioral intervention, delivered by pediatricians or psychologists, on sleep problems in children with ADHD: a cluster-randomized, translational trial",Journal of Child Psychology and Psychiatry,"60(11), 1230-1241",Cluster-randomized translational trial,361 children ages 5-13 with ADHD and moderate/severe sleep problems,10.1111/jcpp.13083,https://doi.org/10.1111/jcpp.13083,https://acamh.onlinelibrary.wiley.com/doi/10.1111/jcpp.13083,Publisher access,Link only - Wiley/ACAMH copyright,ADHD; Sleep Hygiene; Behavioral Sleep Intervention; Community Care; Children; Cluster RCT,04_2019_Hiscock_Community-Sleep-Intervention-Cluster-RCT.pdf
